Name,Rating,Reviews,Jobs,Interviews,Salaries
TCS,3.4,1.1L,1.2k,11.5k,9.4L
Accenture,3.7,67.8k,32.4k,8.9k,6.3L
Wipro,3.7,60.8k,5.8k,6.4k,4.6L
Cognizant,3.7,57.7k,487,6.1k,5.8L
Capgemini,3.7,49.4k,2k,5.3k,4.6L
HDFC Bank,3.8,47.8k,164,2.7k,1.4L
Infosys,3.5,45.5k,2.3k,8.1k,5.1L
ICICI Bank,4.0,43.5k,3,2.8k,1.5L
HCLTech,3.4,42.5k,263,4.3k,3.6L
Tech Mahindra,3.4,40.7k,562,4.3k,2.8L
Genpact,3.6,38.9k,416,3.6k,2.2L
Teleperformance,3.8,34.9k,729,2.1k,93.7k
Axis Bank,3.7,30.8k,849,1.8k,1L
Concentrix Corporation,3.6,30.3k,98,1.9k,1.3L
Jio,4.3,29.5k,51,3.2k,62.4k
Amazon,4.0,29.3k,1.5k,5.6k,1.4L
iEnergizer,4.6,26.8k,43,919,23.6k
Reliance Retail,3.9,25.9k,81,1.8k,71.7k
IBM,3.9,24.6k,2.3k,2.5k,2.1L
LTIMindtree,3.6,24.2k,395,3.2k,1.9L
HDB Financial Services,3.9,24k,148,1k,49.9k
Larsen & Toubro Limited,3.9,22.1k,842,1.7k,72.6k
Deloitte,3.7,21.3k,1k,3.1k,2.3L
Kotak Mahindra Bank,3.6,20.8k,1.4k,1.3k,85.4k
Reliance Industries,4.0,18.9k,34,1.5k,71.2k
Vodafone Idea,4.0,16.9k,20,637,50.6k
BYJU'S,3.1,16.6k,--,2.1k,54.1k
Bharti Airtel,3.9,16.1k,452,1k,48.3k
WNS,3.3,14.1k,71,1.2k,67.6k
AU Small Finance Bank,4.1,13.4k,10,632,27.8k
Tata Motors,4.1,13.4k,172,1.2k,42k
IndusInd Bank,3.4,13.2k,147,725,50.8k
Ernst & Young,3.4,13.1k,3.8k,1.3k,1.3L
IDFC FIRST Bank,3.9,13k,23,852,47.4k
Flipkart,3.9,12.1k,186,1.6k,52.1k
Bajaj Finserv,4.0,11.7k,19,658,29k
DXC Technology,3.6,11.4k,252,868,72.5k
PwC,3.3,11.4k,1.1k,1.5k,1.1L
Infosys BPM,3.5,11.3k,59,1.1k,70.4k
Mahindra & Mahindra,4.1,11.3k,2,800,38.5k
HDFC Life,3.9,11.1k,105,740,31.9k
Bandhan Bank,3.7,9.9k,9,687,24.9k
Conneqt Business Solutions,3.5,9.8k,380,539,26.4k
Muthoot Fincorp,4.5,10k,49,1.3k,8.8k
Mphasis,3.3,9.7k,38,883,71.7k
Yes Bank,3.7,9.4k,204,513,42.9k
Tata Steel,4.0,9.2k,--,1k,32.7k
Quess,3.8,8.9k,8,504,30k
Startek,3.1,8.9k,87,578,24.2k
Asian Paints,3.9,8.7k,44,772,24.8k
Paytm,3.2,8.7k,907,851,33.1k
UltraTech Cement,4.1,8.6k,101,730,23.4k
Shriram Finance,4.0,8.5k,4,411,15.1k
Maruti Suzuki,4.2,8.4k,625,720,26.3k
Bajaj Finance,3.9,8.3k,5.6k,391,22.1k
Sutherland Global Services,3.4,8.2k,408,750,32.7k
EXL Service,3.6,8.1k,392,850,42.8k
Samsung,3.9,8.1k,54,595,25.8k
Ericsson,4.0,8.1k,35,455,42.2k
Cipla,4.1,8k,74,557,25.6k
Wells Fargo,3.7,7.8k,112,653,54k
Dr. Reddy's,4.0,7.7k,36,471,25.5k
HGS,3.7,7.4k,13,263,21.1k
Optum Global Solutions,4.0,7.4k,197,727,46.5k
ICICI Prudential Life Insurance,4.0,7.3k,794,456,22.9k
Amazon Development Centre India,3.9,7.2k,6,849,36.4k
Delhivery,3.8,7.2k,107,566,20.2k
JPMorgan Chase & Co.,3.9,7.2k,778,828,80.6k
Jana Small Finance Bank,3.8,7.2k,26,291,14.5k
Sun Pharmaceutical Industries,4.1,7.1k,346,625,22.8k
JSW Steel,3.9,7.1k,188,739,29.7k
Hexaware Technologies,3.5,7.1k,618,798,51.5k
L&T Construction,4.0,7k,--,899,18.8k
Lupin,4.1,6.9k,40,419,22.2k
Zydus Lifesciences,4.0,6.9k,22,395,19.5k
Hindustan Unilever,4.2,6.9k,45,435,19.9k
Equitas Small Finance Bank,4.3,6.8k,9,495,12.7k
KPMG India,3.4,6.7k,131,892,61.7k
ITC,3.9,6.7k,72,650,23.7k
Ekart Logistics,3.9,6.7k,--,386,15.3k
Ujjivan Small Finance Bank,4.0,6.6k,161,293,12.2k
Axis Max Life Insurance,4.0,6.6k,292,376,19.6k
Megha Engineering & Infrastructures,3.9,6.3k,18,534,17.8k
Tata Projects,4.2,6.3k,14,549,21.6k
FIS,3.9,6.2k,213,520,38.3k
L&T Technology Services,3.1,6.1k,1,599,41k
Coforge,3.2,6k,227,633,45.9k
IIFL Finance,4.0,6k,41,308,13.9k
Bajaj Life Insurance,3.9,6k,80,419,16.7k
Oracle,3.5,6k,524,923,60.3k
Indian Army,4.7,6k,--,193,9.5k
HCL Group,3.5,6k,--,505,41.1k
JLL,4.1,5.9k,242,450,23.3k
Omega Healthcare,3.7,5.9k,161,510,25.4k
Muthoot Finance,3.6,5.9k,98,319,12.6k
Cholamandalam Investment & Finance,3.8,5.8k,26,249,11.9k
eClerx,3.1,5.8k,766,606,30.4k
Virtusa Consulting Services,3.7,5.7k,22,633,55.5k
Udaan,4.0,5.7k,5,364,16.5k
HSBC Group,3.9,5.6k,59,531,41.2k
Indiamart Intermesh,3.6,5.6k,886,725,20k
DMart,3.9,5.6k,157,507,18k
Aurobindo Pharma,4.0,5.5k,11,283,20.7k
Siemens,4.0,5.4k,564,484,32.6k
Shapoorji Pallonji Group,4.1,5.4k,53,396,15.1k
SMFG India Credit,3.9,5.4k,91,193,11k
Standard Chartered,3.6,5.4k,--,311,41.3k
BigBasket,3.9,5.4k,83,440,18.4k
CGI Group,4.0,5.4k,113,548,45.6k
ICICI Lombard General Insurance Company,3.6,5.4k,172,340,19.4k
GlobalLogic,3.5,5.4k,45,666,38.9k
Access Healthcare,3.7,5.4k,532,363,26.5k
Firstsource Solutions,3.5,5.4k,140,343,23.4k
Manappuram Finance,3.9,5.3k,13,205,9k
Apollo Hospitals,4.0,5.3k,70,449,16.2k
Mahindra Finance,3.9,5.3k,473,193,11.8k
Bosch Global Software Technologies,3.8,5.3k,244,375,38.7k
UST,3.7,5.2k,104,565,38.3k
Ashok Leyland,4.0,5.2k,--,297,18.3k
Citicorp,3.7,5.2k,--,606,49.9k
Cyient,3.6,5.1k,94,316,27k
PolicyBazaar,3.7,5.1k,587,566,16.5k
Hero MotoCorp,4.1,5.1k,--,389,15.5k
Swiggy,3.7,5k,196,522,21.9k
JustDial,3.5,4.9k,65,373,15.4k
SBI Cards & Payment Services,3.6,4.9k,135,282,15.6k
Kalpataru Projects International,4.1,4.9k,1,303,13.3k
BNY,3.7,4.9k,1,379,30.1k
IQVIA,3.7,4.8k,29,520,29.8k
CBRE,4.1,4.8k,29,323,18.1k
TVS Motor,3.9,4.8k,69,367,15.5k
SBI Life Insurance Company,3.7,4.8k,13,285,11.5k
vivo,4.1,4.7k,1,220,12.8k
NTT Data,3.8,4.7k,9,695,34k
Persistent Systems,3.6,4.7k,372,686,42.4k
Eviden,3.6,4.7k,--,312,28.6k
Atos,3.8,4.7k,58,401,33.5k
Nagarjuna Construction Company,4.1,4.7k,22,394,11.6k
State Bank of India,3.8,4.7k,3,294,11.2k
Schneider Electric,4.1,4.6k,49,419,23.4k
Ecom Express,4.0,4.6k,--,251,9.4k
Nagarro,3.9,4.6k,143,821,31.2k
Amdocs,3.7,4.6k,74,551,36.7k
Home Credit Finance,4.0,4.5k,106,138,9.6k
JBM Group,3.9,4.5k,56,326,13.6k
KEC International,4.0,4.5k,9,385,12.8k
Piramal Capital Housing Finance,4.2,4.4k,3,223,9.9k
Varun Beverages,4.0,4.4k,50,311,11.7k
Bosch,4.2,4.4k,88,368,20.2k
Hewlett Packard Enterprise,4.1,4.4k,87,256,26.4k
EY Global Delivery Services ( EY GDS),3.5,4.3k,47,857,45.3k
OPPO,3.9,4.3k,4,244,12k
Mahindra Logistics,3.7,4.3k,--,240,12.9k
Dell,3.8,4.3k,32,418,28.4k
ITC Infotech,3.7,4.3k,81,401,28.7k
Aditya Birla Fashion and Retail,4.1,4.3k,78,255,12.5k
L&T Finance,3.9,4.2k,--,203,11.5k
Randstad,3.7,4.2k,5,303,15.7k
CARS24,3.5,4.2k,123,388,15.2k
R1 RCM,3.8,4.2k,433,343,20.4k
Intas Pharmaceuticals,4.1,4.2k,51,248,16.8k
Hyundai Motor India Limited,4.2,4.2k,3,309,13.5k
Havells,3.9,4.2k,35,264,14.9k
Deutsche Bank,3.9,4.1k,990,409,34.8k
Utkarsh Small Finance Bank,3.7,4.1k,12,280,10.7k
Tata AIA Life Insurance,3.9,4.1k,632,228,13.7k
Hetero,3.8,4.1k,137,279,14.8k
Motilal Oswal Financial Services,3.7,4k,57,516,12.5k
Team Lease,3.9,4k,--,239,15.6k
Bajaj Auto,3.8,4k,116,310,14.2k
Lenskart,3.2,3.9k,4.1k,414,12.5k
Thermax Limited,4.2,3.9k,78,316,12.8k
Berger Paints,3.7,3.9k,142,373,9.4k
Macleods Pharmaceuticals,3.6,3.9k,19,250,15.5k
LG Electronics,3.9,3.9k,--,246,10.8k
Aakash Educational Services,3.2,3.9k,57,349,13.2k
Tata Communications,3.9,3.9k,210,287,23.1k
Royal Enfield,4.2,3.8k,5,187,14.4k
Jubilant Foods Works,3.7,3.8k,136,236,8.9k
VE Commercial Vehicles,3.9,3.8k,6,263,13.4k
John Deere,4.0,3.8k,2,259,15k
HDFC Ergo General Insurance,3.9,3.8k,20,182,11.9k
Oyo Rooms,3.1,3.8k,102,248,15k
Jindal Steel Limited,3.9,3.8k,23,392,15k
DCB Bank,3.8,3.8k,14,214,9.7k
Hindalco Industries,4.2,3.7k,8,269,11.7k
Reliance Communications,4.0,3.7k,--,102,9.7k
Cummins,4.3,3.7k,10,269,15.3k
State Street Corporation,3.6,3.7k,1,271,30k
RBL Bank,3.5,3.7k,82,225,18.1k
Carelon Global Solutions,3.8,3.7k,34,401,26.1k
XpressBees,4.2,3.7k,16,430,8k
Bank of America,4.2,3.7k,--,276,27.3k
PVR Inox,3.9,3.6k,15,196,9.3k
Publicis Sapient,3.4,3.6k,227,668,29.8k
Alembic Pharmaceuticals,3.9,3.6k,29,243,14.8k
Subros,3.8,3.6k,1,209,12.4k
American Express,4.1,3.6k,225,407,23.5k
Viatris,4.1,3.6k,6,156,14.1k
Pidilite Industries,4.2,3.6k,6,245,11.1k
Kogta Financial India Limited,4.7,3.6k,105,178,1.7k
Automatic Data Processing (ADP),3.9,3.6k,16,281,21.4k
Escorts Kubota Limited,4.1,3.5k,4,269,12.9k
Sodexo,4.0,3.5k,739,193,9.8k
PNB MetLife,3.4,3.5k,9,180,7.9k
Maersk,4.0,3.5k,62,240,18.4k
Aditya Birla Sun Life Insurance,4.0,3.5k,--,166,9.8k
Samvardhana Motherson Group,3.7,3.5k,15,249,12.2k
Godrej & Boyce Manufacturing,3.9,3.5k,38,214,14.7k
Abbott,4.1,3.5k,321,171,11.3k
Dabur,3.9,3.5k,38,320,8.5k
Synechron,3.5,3.5k,117,398,27.3k
Birlasoft,3.5,3.5k,2,309,29.3k
Bharat Electronics,4.2,3.4k,--,237,12.2k
Cogent E Services,3.2,3.4k,1,285,9.9k
Kyndryl,3.9,3.4k,108,212,25k
Grasim Industries,4.0,3.4k,1,262,12.2k
Glenmark Pharmaceuticals,3.8,3.4k,59,170,11.6k
Kotak Mahindara Life Insurance,3.5,3.4k,226,254,12.5k
Tata Capital,4.0,3.4k,1.7k,183,11k
Aarti Industries,4.0,3.4k,4,314,13.9k
JK Cement,4.0,3.4k,3,317,9.6k
Indian Oil Corporation,4.4,3.4k,--,230,7.6k
KPIT Technologies,3.0,3.4k,46,330,22.1k
Ipca Laboratories,3.9,3.4k,38,186,11.4k
Reliance Projects & Property Management Services,4.0,3.4k,--,197,7.2k
"NTT DATA, Inc.",3.9,3.3k,160,144,21.3k
Johnson Controls,3.5,3.3k,20,291,16.6k
MRF Tyres,3.6,3.3k,14,352,12.2k
Alkem Laboratories,3.9,3.3k,43,185,9.5k
Reliance Digital,4.1,3.3k,--,152,7.9k
Ford Motor,4.2,3.3k,1,171,14.7k
IGT Solutions,3.3,3.3k,85,242,13.2k
Honda Motorcycle & Scooter,4.1,3.3k,--,186,10.7k
UBS,3.9,3.3k,--,366,30.7k
Vishal Mega Mart,3.7,3.3k,5,191,6.1k
24/7 Customer,3.4,3.2k,46,180,11.4k
Hindustan Coca Cola Beverages,4.0,3.2k,37,165,7.5k
Ceat Tyres,3.9,3.2k,8,198,12.6k
Reliance Nippon Life Insurance,3.4,3.2k,13,160,8.2k
DTDC Express,3.7,3.2k,24,181,8.4k
HARMAN,3.8,3.2k,151,288,23.9k
ABB,4.1,3.2k,479,268,16.9k
ArcelorMittal Nippon Steel,4.1,3.2k,--,260,11.1k
Indian Air Force,4.6,3.1k,--,76,5k
NatWest Group,4.0,3.1k,--,231,20.2k
PhonePe,4.0,3.1k,28,380,12.1k
RSPL Group,4.1,3.1k,25,235,9.4k
UNO Minda,4.0,3.1k,4,223,10.5k
Barclays,3.7,3.1k,--,297,29.2k
Marpu Foundation,4.8,3.1k,--,222,55
InterGlobe Aviation,3.5,3.1k,43,353,13.3k
GeBBS Healthcare Solutions,3.7,3.1k,64,172,11.3k
Conduent,3.4,3.1k,527,220,16.7k
Tata Technologies,3.4,3.1k,127,298,21.9k
AGS Health,4.0,3.1k,35,197,13.7k
Alstom Transportation,3.7,3k,429,272,14.1k
Future Group,4.2,3k,--,81,6.9k
Tata AIG,4.0,3k,100,183,11.2k
TVS Credit Services Ltd,4.2,3k,48,142,7k
Max Healthcare,3.9,3k,129,174,10.1k
Cloudnine Hospital,4.5,3k,--,866,2.7k
UPL,4.1,3k,44,208,10.8k
Dilip Buildcon,3.9,3k,26,169,8k
Croma,3.8,3k,15,168,8.7k
Amazon Transportation Services,4.2,3k,--,247,8.1k
PepsiCo,4.0,3k,251,227,12.5k
Walmart,3.5,3k,179,427,21k
Bajaj General Insurance Limited,3.8,2.9k,412,117,9.1k
Titan Company,4.2,2.9k,198,183,9.3k
S&P Global,4.0,2.9k,256,317,19.6k
Varroc Group,3.6,2.9k,46,211,9.3k
Mankind Pharma,3.8,2.9k,12,236,9.1k
Blinkit,3.8,2.9k,2,283,11.3k
CMS IT Services,3.0,2.9k,71,151,9.5k
Societe Generale Global Solution Centre,3.7,2.9k,82,289,22k
MSN Laboratories,3.6,2.9k,36,161,9.2k
Afcons Infrastructure,4.2,2.9k,30,250,8.3k
Torrent Pharmaceuticals,4.0,2.8k,24,149,10.1k
Square Yards,3.7,2.8k,45,222,9k
Jindal Stainless,4.2,2.8k,7,293,10.9k
I Process Services,3.9,2.8k,2,124,5.3k
Zensar Technologies,3.7,2.8k,423,269,25.2k
ACC,3.9,2.8k,20,225,9k
HDFC Sales,3.9,2.8k,68,186,8.1k
Quest Global,3.5,2.8k,147,338,20.2k
Shoppers Stop,4.0,2.8k,12,131,6.9k
Nokia,4.0,2.8k,302,303,15.6k
Fujitsu,3.8,2.8k,199,207,16.9k
UnitedHealth,4.0,2.8k,--,84,14.8k
IDFC FIRST Bharat,4.2,2.8k,--,130,5.1k
Suzlon Group,4.0,2.7k,12,158,7.4k
Apollo Tyres,4.0,2.7k,1,146,9.6k
DS Group,4.1,2.7k,39,200,7.3k
Eternal Limited,3.6,2.7k,5,348,13.7k
Fiserv,2.8,2.7k,71,191,17.5k
Whitehat jr,3.3,2.7k,--,263,9.5k
Tata Elxsi,3.6,2.7k,48,330,21.5k
Indus Towers,3.6,2.7k,29,213,8.7k
IKS Health,3.5,2.7k,22,256,10.7k
VVDN Technologies,3.6,2.7k,9,239,12.9k
Yazaki,3.9,2.7k,6,166,8.6k
ESAF Small Finance Bank,3.6,2.7k,34,150,7.3k
Landmark Group,3.9,2.6k,11,165,9k
Shree Cement,3.8,2.6k,--,190,9.5k
Flex,3.9,2.6k,62,207,15.9k
Britannia,4.0,2.6k,3,210,8k
Capita,3.5,2.6k,48,161,13k
Blue Dart Express Ltd,3.9,2.6k,1,120,6.7k
SRF,4.1,2.6k,13,203,8.6k
Ola Electric Mobility,3.3,2.6k,--,274,8.7k
ElasticRun,3.6,2.6k,13,265,6.1k
Shell,3.9,2.6k,22,224,13.5k
Exide Industries,3.4,2.6k,66,200,8.3k
Micro Labs,3.6,2.5k,17,143,9.5k
Kansai Nerolac Paints,3.8,2.5k,66,182,7.5k
KPMG Global Services,3.5,2.5k,--,242,22.9k
Dalmia Bharat Cement,3.9,2.5k,2,181,8.3k
Sahrudaya Healthcare (Medicover Hospitals),4.5,2.5k,31,136,3.3k
TVS Supply Chain Solutions,3.8,2.5k,10,146,8.3k
Sagility,3.9,2.5k,35,224,10.2k
