text,target_label
1.7k,satisfaction
There is growing concern about job insecurity,concern
Challenging tasks like innovation inspire me,motivation
299,satisfaction
The stressful environment comes from layoffs,concern
206,satisfaction
344,satisfaction
188,satisfaction
I feel motivated because skill improvement,motivation
I enjoy learning new skills like career growth,motivation
The company culture is slow and unorganized and it makes the job unbearable.,frustration
256,satisfaction
Employees are worried about toxic management,concern
474,satisfaction
274,satisfaction
407,satisfaction
633,satisfaction
236,satisfaction
781,satisfaction
There is fear and uncertainty because of harassment reports,concern
193,satisfaction
610,satisfaction
318,satisfaction
HR is stressful and chaotic and no one listens to feedback.,frustration
239,satisfaction
601,satisfaction
271,satisfaction
479,satisfaction
277,satisfaction
200,satisfaction
Job security feels threatened due to toxic management,concern
192,satisfaction
There are great opportunities for future leadership,motivation
The management is poorly managed and it's affecting performance.,frustration
563,satisfaction
1.6k,satisfaction
210,satisfaction
The stressful environment comes from harassment reports,concern
Job security feels threatened due to harassment reports,concern
The company culture is unfair to employees and it feels like a waste of time.,frustration
248,satisfaction
The support from leadership helps me grow in career growth,motivation
658,satisfaction
The stressful environment comes from work pressure,concern
207,satisfaction
334,satisfaction
534,satisfaction
There is growing concern about job insecurity,concern
475,satisfaction
The stressful environment comes from work pressure,concern
293,satisfaction
Leadership is terrible and employees are exhausted by it.,frustration
231,satisfaction
295,satisfaction
212,satisfaction
There are great opportunities for skill improvement,motivation
The management is really bad and it makes the job unbearable.,frustration
There is growing concern about harassment reports,concern
215,satisfaction
1.6k,satisfaction
There is fear and uncertainty because of politics,concern
254,satisfaction
1.1k,satisfaction
The work environment is poorly managed and it creates constant stress.,frustration
556,satisfaction
517,satisfaction
206,satisfaction
The management is slow and unorganized and employees are exhausted by it.,frustration
546,satisfaction
1k,satisfaction
There is fear and uncertainty because of job insecurity,concern
The work environment is stressful and chaotic and it's impossible to stay motivated.,frustration
The support from leadership helps me grow in future leadership,motivation
300,satisfaction
1.3k,satisfaction
203,satisfaction
I feel motivated because future leadership,motivation
207,satisfaction
279,satisfaction
The company culture is unfair to employees and productivity is suffering because of this.,frustration
404,satisfaction
201,satisfaction
780,satisfaction
553,satisfaction
The stressful environment comes from politics,concern
The promotion process is poorly managed and it makes the job unbearable.,frustration
Challenging tasks like career growth inspire me,motivation
334,satisfaction
The workflow is unfair to employees and employees are exhausted by it.,frustration
There is growing concern about job insecurity,concern
1k,satisfaction
395,satisfaction
269,satisfaction
I enjoy learning new skills like future leadership,motivation
993,satisfaction
607,satisfaction
307,satisfaction
397,satisfaction
HR is unfair to employees and it's impossible to stay motivated.,frustration
493,satisfaction
1k,satisfaction
256,satisfaction
287,satisfaction
The stressful environment comes from work pressure,concern
215,frustration
Job security feels threatened due to layoffs,concern
441,satisfaction
694,satisfaction
295,satisfaction
1.2k,satisfaction
There are great opportunities for promotion,motivation
345,satisfaction
2k,satisfaction
The support from leadership helps me grow in learning,motivation
221,satisfaction
442,satisfaction
258,satisfaction
1.1k,satisfaction
192,satisfaction
Employees are worried about job insecurity,concern
229,satisfaction
657,satisfaction
The promotion process is terrible and it creates constant stress.,frustration
There is fear and uncertainty because of layoffs,concern
Challenging tasks like career growth inspire me,motivation
Employees are worried about work pressure,concern
241,satisfaction
232,satisfaction
Employees are worried about job insecurity,concern
620,satisfaction
903,satisfaction
The stressful environment comes from work pressure,concern
The support from leadership helps me grow in career growth,motivation
1.6k,satisfaction
281,satisfaction
420,satisfaction
223,satisfaction
Job security feels threatened due to job insecurity,concern
484,satisfaction
Leadership is completely broken and employees are exhausted by it.,frustration
246,satisfaction
517,satisfaction
416,satisfaction
246,satisfaction
Employees are worried about job insecurity,concern
The support from leadership helps me grow in career growth,motivation
317,satisfaction
224,satisfaction
286,satisfaction
Employees are worried about politics,concern
The company culture is stressful and chaotic and it creates constant stress.,frustration
1.1k,satisfaction
537,satisfaction
192,satisfaction
There is fear and uncertainty because of toxic management,concern
There are great opportunities for skill improvement,motivation
Employees are worried about layoffs,concern
The work environment is toxic and discouraging and nothing improves.,frustration
316,satisfaction
571,satisfaction
1.7k,satisfaction
380,satisfaction
632,satisfaction
Job security feels threatened due to harassment reports,concern
There is fear and uncertainty because of layoffs,concern
232,satisfaction
258,satisfaction
250,satisfaction
488,satisfaction
I feel motivated because future leadership,motivation
1.3k,satisfaction
255,satisfaction
388,satisfaction
602,satisfaction
201,satisfaction
309,satisfaction
3.1k,satisfaction
Communication here is frustrating to deal with and no one listens to feedback.,frustration
311,satisfaction
540,satisfaction
425,satisfaction
519,satisfaction
The support from leadership helps me grow in innovation,motivation
580,satisfaction
Challenging tasks like skill improvement inspire me,motivation
The promotion process is poorly managed and it creates constant stress.,frustration
I feel motivated because future leadership,motivation
541,satisfaction
The support from leadership helps me grow in skill improvement,motivation
The promotion process is frustrating to deal with and it creates constant stress.,frustration
285,satisfaction
HR is completely broken and people are quitting because of it.,frustration
211,satisfaction
775,satisfaction
193,satisfaction
737,satisfaction
Employees are worried about job insecurity,concern
1.1k,satisfaction
The performance review system is stressful and chaotic and it feels like a waste of time.,frustration
There are great opportunities for skill improvement,motivation
196,satisfaction
287,satisfaction
336,satisfaction
711,satisfaction
1.3k,satisfaction
192,satisfaction
Employees are worried about layoffs,concern
868,satisfaction
728,satisfaction
Leadership is toxic and discouraging and it's affecting performance.,frustration
240,satisfaction
Challenging tasks like innovation inspire me,motivation
208,satisfaction
278,satisfaction
273,satisfaction
There is growing concern about work pressure,concern
I feel motivated because learning,motivation
Challenging tasks like future leadership inspire me,motivation
1.1k,satisfaction
Employees are worried about job insecurity,concern
671,satisfaction
The support from leadership helps me grow in innovation,motivation
I feel motivated because promotion,motivation
The stressful environment comes from harassment reports,concern
325,satisfaction
217,satisfaction
The management is terrible and it feels like a waste of time.,frustration
274,satisfaction
The support from leadership helps me grow in career growth,motivation
875,satisfaction
429,satisfaction
225,satisfaction
293,satisfaction
292,satisfaction
I enjoy learning new skills like skill improvement,motivation
299,satisfaction
241,satisfaction
Job security feels threatened due to layoffs,concern
353,satisfaction
203,satisfaction
I feel motivated because learning,motivation
265,satisfaction
436,satisfaction
Employees are worried about harassment reports,concern
The stressful environment comes from work pressure,concern
287,satisfaction
There is growing concern about work pressure,concern
261,satisfaction
3.5k,satisfaction
I feel motivated because innovation,motivation
228,satisfaction
Challenging tasks like innovation inspire me,motivation
239,satisfaction
214,satisfaction
The stressful environment comes from harassment reports,concern
There is growing concern about layoffs,concern
427,satisfaction
251,satisfaction
266,satisfaction
There is fear and uncertainty because of harassment reports,concern
There is growing concern about toxic management,concern
225,satisfaction
The promotion process is completely broken and it feels like a waste of time.,frustration
505,satisfaction
323,satisfaction
537,satisfaction
Communication here is full of delays and confusion and it's impossible to stay motivated.,frustration
704,satisfaction
320,satisfaction
501,satisfaction
Challenging tasks like learning inspire me,motivation
I enjoy learning new skills like learning,motivation
599,satisfaction
266,satisfaction
I feel motivated because promotion,motivation
The support from leadership helps me grow in promotion,motivation
The stressful environment comes from harassment reports,concern
206,satisfaction
1.7k,satisfaction
287,satisfaction
308,satisfaction
Leadership is terrible and nothing improves.,frustration
Communication here is completely broken and it creates constant stress.,frustration
718,satisfaction
245,satisfaction
390,satisfaction
353,satisfaction
1.2k,satisfaction
283,satisfaction
398,satisfaction
I feel motivated because career growth,motivation
Job security feels threatened due to toxic management,concern
214,satisfaction
There is growing concern about toxic management,concern
The stressful environment comes from politics,concern
520,satisfaction
